for NO_TESTS is 0 cond_prob_loop is 0 actual oracle response for each test:
actual_loop_count:488, actual_oracle_response:0 0 
actual_loop_count:489, actual_oracle_response:0 -1 0 
actual_loop_count:490, actual_oracle_response:0 0 
actual_loop_count:491, actual_oracle_response:-1 0 
actual_loop_count:492, actual_oracle_response:-1 -1 
actual_loop_count:493, actual_oracle_response:0 -1 0 
actual_loop_count:494, actual_oracle_response:0 0 
actual_loop_count:495, actual_oracle_response:0 -1 0 
actual_loop_count:496, actual_oracle_response:0 -1 -1 
actual_loop_count:497, actual_oracle_response:-1 0 
actual_loop_count:498, actual_oracle_response:0 -1 0 
actual_loop_count:499, actual_oracle_response:0 0 
actual_loop_count:500, actual_oracle_response:-1 0 
actual_loop_count:501, actual_oracle_response:-1 0 
actual_loop_count:502, actual_oracle_response:0 0 
actual_loop_count:503, actual_oracle_response:-1 0 
actual_loop_count:504, actual_oracle_response:0 0 
actual_loop_count:505, actual_oracle_response:0 0 
actual_loop_count:506, actual_oracle_response:0 0 
actual_loop_count:507, actual_oracle_response:0 0 
actual_loop_count:508, actual_oracle_response:0 0 
actual_loop_count:509, actual_oracle_response:0 -1 -1 
actual_loop_count:510, actual_oracle_response:0 -1 0 
actual_loop_count:511, actual_oracle_response:0 -1 0 
actual_loop_count:512, actual_oracle_response:0 -1 0 
actual_loop_count:513, actual_oracle_response:0 -1 0 
actual_loop_count:514, actual_oracle_response:0 -1 -1 
actual_loop_count:515, actual_oracle_response:-1 0 
actual_loop_count:516, actual_oracle_response:0 0 
actual_loop_count:517, actual_oracle_response:0 -1 0 
actual_loop_count:518, actual_oracle_response:0 -1 0 
actual_loop_count:519, actual_oracle_response:0 0 
actual_loop_count:520, actual_oracle_response:-1 0 
actual_loop_count:521, actual_oracle_response:0 -1 0 
actual_loop_count:522, actual_oracle_response:0 0 
actual_loop_count:523, actual_oracle_response:0 -1 0 
actual_loop_count:524, actual_oracle_response:0 -1 0 
actual_loop_count:525, actual_oracle_response:0 -1 -1 
actual_loop_count:526, actual_oracle_response:0 -1 -1 
actual_loop_count:527, actual_oracle_response:0 -1 0 
actual_loop_count:528, actual_oracle_response:0 -1 -1 
actual_loop_count:529, actual_oracle_response:0 -1 -1 
actual_loop_count:530, actual_oracle_response:0 0 
actual_loop_count:531, actual_oracle_response:0 -1 0 
actual_loop_count:532, actual_oracle_response:0 -1 -1 
actual_loop_count:533, actual_oracle_response:-1 -1 
actual_loop_count:534, actual_oracle_response:0 0 
actual_loop_count:535, actual_oracle_response:-1 -1 
actual_loop_count:536, actual_oracle_response:-1 0 
actual_loop_count:537, actual_oracle_response:-1 0 
